run,experiment,attention,loss_ptau,pca_components,dropout,weight_decay,lr,lambda_entropy,avg_f1,avg_mse,avg_mae,error
lower_lr_attnFalse_losshuber_pca4,lower_lr,False,huber,4,0.2,0.1,0.0005,0.001,0.2991071428571428,1.00474328373059,0.5988081584994992,
lower_lr_attnFalse_losshuber_pca8,lower_lr,False,huber,8,0.2,0.1,0.0005,0.001,0.4126488095238095,0.40055223576653254,0.49361643268881983,
lower_lr_attnFalse_losshuber_pcaNone,lower_lr,False,huber,,0.2,0.1,0.0005,0.001,0.16666666666666666,0.10782163098316068,0.25167850932727254,
lower_lr_attnFalse_lossmse_pca2,lower_lr,False,mse,2,0.2,0.1,0.0005,0.001,0.44166666666666665,0.13068245358143254,0.27972873610754806,
lower_lr_attnFalse_lossmse_pca4,lower_lr,False,mse,4,0.2,0.1,0.0005,0.001,0.2625,0.17455248280301494,0.35954893506520114,
lower_lr_attnFalse_lossmse_pca8,lower_lr,False,mse,8,0.2,0.1,0.0005,0.001,0.2875,0.44885162259560474,0.5018273755752791,
lower_lr_attnFalse_lossmse_pcaNone,lower_lr,False,mse,,0.2,0.1,0.0005,0.001,0.3458333333333333,0.2672855551232537,0.4369543257635087,
lower_lr_attnFalse_lossmae_pca2,lower_lr,False,mae,2,0.2,0.1,0.0005,0.001,0.32256944444444446,0.5727687112126321,0.4666782285397252,
lower_lr_attnFalse_lossmae_pca4,lower_lr,False,mae,4,0.2,0.1,0.0005,0.001,0.29791666666666666,1.5435448622554389,0.6366965913912281,
lower_lr_attnFalse_lossmae_pca8,lower_lr,False,mae,8,0.2,0.1,0.0005,0.001,0.30208333333333337,0.1629477263619789,0.2676297354822358,
lower_lr_attnFalse_lossmae_pcaNone,lower_lr,False,mae,,0.2,0.1,0.0005,0.001,0.4359126984126984,0.12913923289091295,0.2802481028290155,
lowest_lr_attnTrue_losshuber_pca2,lowest_lr,True,huber,2,0.2,0.1,0.0001,0.001,0.15277777777777776,1.9893369409494113,1.1074941037222743,
lowest_lr_attnTrue_losshuber_pca4,lowest_lr,True,huber,4,0.2,0.1,0.0001,0.001,0.1873015873015873,0.32583560003889656,0.4234037181983391,
lowest_lr_attnTrue_losshuber_pca8,lowest_lr,True,huber,8,0.2,0.1,0.0001,0.001,0.15590277777777778,0.473146658509229,0.5222515102941543,
lowest_lr_attnTrue_losshuber_pcaNone,lowest_lr,True,huber,,0.2,0.1,0.0001,0.001,0.23869047619047618,0.1318798742391098,0.2958663273602724,
lowest_lr_attnTrue_lossmse_pca2,lowest_lr,True,mse,2,0.2,0.1,0.0001,0.001,0.09895833333333333,0.37213559129950274,0.5408557341822112,
lowest_lr_attnTrue_lossmse_pca4,lowest_lr,True,mse,4,0.2,0.1,0.0001,0.001,0.12569444444444444,0.4396224925843386,0.5207469131176671,
lowest_lr_attnTrue_lossmse_pca8,lowest_lr,True,mse,8,0.2,0.1,0.0001,0.001,0.14756944444444442,0.6698398997541863,0.5442215011765559,
lowest_lr_attnTrue_lossmse_pcaNone,lowest_lr,True,mse,,0.2,0.1,0.0001,0.001,0.07291666666666666,0.20023376074702348,0.31744705683862173,
lowest_lr_attnTrue_lossmae_pca2,lowest_lr,True,mae,2,0.2,0.1,0.0001,0.001,0.17916666666666667,0.519171118577235,0.6123185091031095,
lowest_lr_attnTrue_lossmae_pca4,lowest_lr,True,mae,4,0.2,0.1,0.0001,0.001,0.2045138888888889,0.19589862521593554,0.3388766348361969,
lowest_lr_attnTrue_lossmae_pca8,lowest_lr,True,mae,8,0.2,0.1,0.0001,0.001,0.14583333333333334,1.1295633506564338,0.794322600743423,
lowest_lr_attnTrue_lossmae_pcaNone,lowest_lr,True,mae,,0.2,0.1,0.0001,0.001,0.2989583333333333,0.2022718216088069,0.3907510054802212,
lowest_lr_attnFalse_losshuber_pca2,lowest_lr,False,huber,2,0.2,0.1,0.0001,0.001,0.0923611111111111,1.607628729116947,0.8094755979254842,
lowest_lr_attnFalse_losshuber_pca4,lowest_lr,False,huber,4,0.2,0.1,0.0001,0.001,0.2159722222222222,1.495641953288541,0.7864980812494954,
lowest_lr_attnFalse_losshuber_pca8,lowest_lr,False,huber,8,0.2,0.1,0.0001,0.001,0.09756944444444443,0.6086883305157793,0.6190445913622776,
lowest_lr_attnFalse_losshuber_pcaNone,lowest_lr,False,huber,,0.2,0.1,0.0001,0.001,0.3368055555555556,0.06802848299011495,0.21957288356497884,
lowest_lr_attnFalse_lossmse_pca2,lowest_lr,False,mse,2,0.2,0.1,0.0001,0.001,0.16006944444444446,0.24162842690920197,0.3725584206792215,
lowest_lr_attnFalse_lossmse_pca4,lowest_lr,False,mse,4,0.2,0.1,0.0001,0.001,0.09583333333333333,0.5266930367146597,0.6079345291169982,
lowest_lr_attnFalse_lossmse_pca8,lowest_lr,False,mse,8,0.2,0.1,0.0001,0.001,0.22083333333333333,0.9696559107428966,0.7192133190110326,
lowest_lr_attnFalse_lossmse_pcaNone,lowest_lr,False,mse,,0.2,0.1,0.0001,0.001,0.17881944444444445,0.2865833021803457,0.4286499190299461,
lowest_lr_attnFalse_lossmae_pca2,lowest_lr,False,mae,2,0.2,0.1,0.0001,0.001,0.11979166666666666,1.4261986261715078,0.9385496728743116,
lowest_lr_attnFalse_lossmae_pca4,lowest_lr,False,mae,4,0.2,0.1,0.0001,0.001,0.15208333333333335,0.45324575121204125,0.5027181610154609,
lowest_lr_attnFalse_lossmae_pca8,lowest_lr,False,mae,8,0.2,0.1,0.0001,0.001,0.26736111111111105,1.1655677321746143,0.7447824620952209,
lowest_lr_attnFalse_lossmae_pcaNone,lowest_lr,False,mae,,0.2,0.1,0.0001,0.001,0.1892361111111111,0.24459180030834632,0.4004307445138693,
higher_lambda_entropy_attnTrue_losshuber_pca2,higher_lambda_entropy,True,huber,2,0.2,0.1,0.001,0.01,0.2881944444444444,0.34277678296015124,0.31115947070065886,
higher_lambda_entropy_attnTrue_losshuber_pca4,higher_lambda_entropy,True,huber,4,0.2,0.1,0.001,0.01,0.31646825396825395,0.23302581039471185,0.38519836853568756,
