run,experiment,attention,loss_ptau,pca_components,dropout,weight_decay,lr,lambda_entropy,avg_f1,avg_mse,avg_mae,error
lowest_lr_attnTrue_losshuber_pca8,lowest_lr,True,huber,8,0.2,0.1,0.0001,0.001,0.11666666666666667,0.4250577847996403,0.5327948556126406,
lowest_lr_attnTrue_losshuber_pcaNone,lowest_lr,True,huber,,0.2,0.1,0.0001,0.001,0.15833333333333333,0.16878257999683272,0.32355401591242605,
lowest_lr_attnTrue_lossmse_pca2,lowest_lr,True,mse,2,0.2,0.1,0.0001,0.001,0.30416666666666664,0.23577201536321057,0.44356501296473044,
lowest_lr_attnTrue_lossmse_pca4,lowest_lr,True,mse,4,0.2,0.1,0.0001,0.001,0.2729166666666667,0.16804142478471862,0.34179643991713726,
lowest_lr_attnTrue_lossmse_pca8,lowest_lr,True,mse,8,0.2,0.1,0.0001,0.001,0.303125,0.5348394467591939,0.5142893057782203,
lowest_lr_attnTrue_lossmse_pcaNone,lowest_lr,True,mse,,0.2,0.1,0.0001,0.001,0.11458333333333333,0.11608133981248822,0.3133087312647452,
lowest_lr_attnTrue_lossmae_pca2,lowest_lr,True,mae,2,0.2,0.1,0.0001,0.001,0.17708333333333331,0.9667870701478731,0.6936835612965903,
lowest_lr_attnTrue_lossmae_pca4,lowest_lr,True,mae,4,0.2,0.1,0.0001,0.001,0.16805555555555557,2.4465885441644546,0.851236330733324,
lowest_lr_attnTrue_lossmae_pca8,lowest_lr,True,mae,8,0.2,0.1,0.0001,0.001,0.11875,0.5849007749857622,0.5782737724948674,
lowest_lr_attnTrue_lossmae_pcaNone,lowest_lr,True,mae,,0.2,0.1,0.0001,0.001,0.12916666666666665,0.13416659687665888,0.29481384833343327,
lowest_lr_attnFalse_losshuber_pca2,lowest_lr,False,huber,2,0.2,0.1,0.0001,0.001,0.3645833333333333,4.085734041277051,0.955725306334595,
lowest_lr_attnFalse_losshuber_pca4,lowest_lr,False,huber,4,0.2,0.1,0.0001,0.001,0.1809027777777778,0.1837040204736543,0.351585961606664,
lowest_lr_attnFalse_losshuber_pca8,lowest_lr,False,huber,8,0.2,0.1,0.0001,0.001,0.19513888888888886,0.378308879651288,0.5177771976062406,
lowest_lr_attnFalse_losshuber_pcaNone,lowest_lr,False,huber,,0.2,0.1,0.0001,0.001,0.32395833333333335,0.09618501435256643,0.24047262074115378,
lowest_lr_attnFalse_lossmse_pca2,lowest_lr,False,mse,2,0.2,0.1,0.0001,0.001,0.19722222222222222,0.9114563220831682,0.6036549933875601,
lowest_lr_attnFalse_lossmse_pca4,lowest_lr,False,mse,4,0.2,0.1,0.0001,0.001,0.14166666666666666,0.8410698594389308,0.6989609966791857,
lowest_lr_attnFalse_lossmse_pca8,lowest_lr,False,mse,8,0.2,0.1,0.0001,0.001,0.13958333333333334,0.4528359182605189,0.47253840560248744,
lowest_lr_attnFalse_lossmse_pcaNone,lowest_lr,False,mse,,0.2,0.1,0.0001,0.001,0.17395833333333335,0.14605958921268555,0.30346991649518407,
lowest_lr_attnFalse_lossmae_pca2,lowest_lr,False,mae,2,0.2,0.1,0.0001,0.001,0.06527777777777778,0.33106731729851663,0.4458909633103758,
lowest_lr_attnFalse_lossmae_pca4,lowest_lr,False,mae,4,0.2,0.1,0.0001,0.001,0.17708333333333331,0.7531100431333264,0.6340339867553363,
lowest_lr_attnFalse_lossmae_pca8,lowest_lr,False,mae,8,0.2,0.1,0.0001,0.001,0.17708333333333331,0.43343402385003116,0.44533599144779146,
lowest_lr_attnFalse_lossmae_pcaNone,lowest_lr,False,mae,,0.2,0.1,0.0001,0.001,0.10937499999999999,0.21180141860141502,0.3967138944038501,
higher_lambda_entropy_attnTrue_losshuber_pca2,higher_lambda_entropy,True,huber,2,0.2,0.1,0.001,0.01,0.3819444444444444,0.11612098127206112,0.251974605411912,
higher_lambda_entropy_attnTrue_losshuber_pca4,higher_lambda_entropy,True,huber,4,0.2,0.1,0.001,0.01,0.4208333333333333,0.07863695781635649,0.20884064286171147,
