region,cell_type,run,experiment,gene_encoder,attention,pca_components,avg_f1,avg_mse,avg_mae,dropout,weight_decay,lr,lambda_entropy,error
CrossRegion,Microglia,geFalse_attnFalse_pca2_higher_weight_decay,higher_weight_decay,False,False,2,0.33055555555555555,0.0,0.0,0.2,0.5,0.001,0.001,
CrossRegion,Microglia,geFalse_attnFalse_pca2_highest_weight_decay,highest_weight_decay,False,False,2,0.25625,0.0,0.0,0.2,1.0,0.001,0.001,
CrossRegion,Microglia,geFalse_attnFalse_pca2_lower_lr,lower_lr,False,False,2,0.3041666666666667,0.0,0.0,0.2,0.1,0.0005,0.001,
CrossRegion,Microglia,geFalse_attnFalse_pca2_lowest_lr,lowest_lr,False,False,2,0.26875000000000004,0.0,0.0,0.2,0.1,0.0001,0.001,
CrossRegion,Microglia,geFalse_attnFalse_pca2_higher_lambda_entropy,higher_lambda_entropy,False,False,2,0.33541666666666664,0.0,0.0,0.2,0.1,0.001,0.01,
CrossRegion,Microglia,geFalse_attnFalse_pca2_highest_lambda_entropy,highest_lambda_entropy,False,False,2,0.18819444444444444,0.0,0.0,0.2,0.1,0.001,0.1,
CrossRegion,Microglia,geFalse_attnFalse_pca2_dropout_wd,dropout_wd,False,False,2,0.20763888888888887,0.0,0.0,0.4,0.5,0.001,0.001,
CrossRegion,Microglia,geFalse_attnFalse_pca2_dropout_lr,dropout_lr,False,False,2,0.10624999999999998,0.0,0.0,0.4,0.1,0.0005,0.001,
CrossRegion,Microglia,geFalse_attnFalse_pca2_wd_lr,wd_lr,False,False,2,0.27847222222222223,0.0,0.0,0.2,0.5,0.0005,0.001,
CrossRegion,Microglia,geFalse_attnFalse_pca2_all_moderate,all_moderate,False,False,2,0.16874999999999998,0.0,0.0,0.4,0.5,0.0005,0.01,
CrossRegion,Microglia,geFalse_attnFalse_pca2_all_strong,all_strong,False,False,2,0.2534722222222222,0.0,0.0,0.5,1.0,0.0001,0.1,
CrossRegion,Microglia,geFalse_attnFalse_pca4_baseline,baseline,False,False,4,0.20555555555555555,0.0,0.0,0.2,0.1,0.001,0.001,
CrossRegion,Microglia,geFalse_attnFalse_pca4_higher_dropout,higher_dropout,False,False,4,0.14791666666666664,0.0,0.0,0.4,0.1,0.001,0.001,
CrossRegion,Microglia,geFalse_attnFalse_pca4_highest_dropout,highest_dropout,False,False,4,0.2875,0.0,0.0,0.5,0.1,0.001,0.001,
CrossRegion,Microglia,geFalse_attnFalse_pca4_higher_weight_decay,higher_weight_decay,False,False,4,0.12013888888888889,0.0,0.0,0.2,0.5,0.001,0.001,
CrossRegion,Microglia,geFalse_attnFalse_pca4_highest_weight_decay,highest_weight_decay,False,False,4,0.22916666666666666,0.0,0.0,0.2,1.0,0.001,0.001,
CrossRegion,Microglia,geFalse_attnFalse_pca4_lower_lr,lower_lr,False,False,4,0.2159722222222222,0.0,0.0,0.2,0.1,0.0005,0.001,
CrossRegion,Microglia,geFalse_attnFalse_pca4_lowest_lr,lowest_lr,False,False,4,0.17916666666666664,0.0,0.0,0.2,0.1,0.0001,0.001,
CrossRegion,Microglia,geFalse_attnFalse_pca4_higher_lambda_entropy,higher_lambda_entropy,False,False,4,0.3138888888888889,0.0,0.0,0.2,0.1,0.001,0.01,
CrossRegion,Microglia,geFalse_attnFalse_pca4_highest_lambda_entropy,highest_lambda_entropy,False,False,4,0.37916666666666665,0.0,0.0,0.2,0.1,0.001,0.1,
CrossRegion,Microglia,geFalse_attnFalse_pca4_dropout_wd,dropout_wd,False,False,4,0.1986111111111111,0.0,0.0,0.4,0.5,0.001,0.001,
CrossRegion,Microglia,geFalse_attnFalse_pca4_dropout_lr,dropout_lr,False,False,4,0.1951388888888889,0.0,0.0,0.4,0.1,0.0005,0.001,
CrossRegion,Microglia,geFalse_attnFalse_pca4_wd_lr,wd_lr,False,False,4,0.15555555555555556,0.0,0.0,0.2,0.5,0.0005,0.001,
CrossRegion,Microglia,geFalse_attnFalse_pca4_all_moderate,all_moderate,False,False,4,0.2048611111111111,0.0,0.0,0.4,0.5,0.0005,0.01,
CrossRegion,Microglia,geFalse_attnFalse_pca4_all_strong,all_strong,False,False,4,0.19375,0.0,0.0,0.5,1.0,0.0001,0.1,
CrossRegion,Microglia,geFalse_attnFalse_pca8_baseline,baseline,False,False,8,0.29375,0.0,0.0,0.2,0.1,0.001,0.001,
CrossRegion,Microglia,geFalse_attnFalse_pca8_higher_dropout,higher_dropout,False,False,8,0.15833333333333333,0.0,0.0,0.4,0.1,0.001,0.001,
CrossRegion,Microglia,geFalse_attnFalse_pca8_highest_dropout,highest_dropout,False,False,8,0.2625,0.0,0.0,0.5,0.1,0.001,0.001,
CrossRegion,Microglia,geFalse_attnFalse_pca8_higher_weight_decay,higher_weight_decay,False,False,8,0.18472222222222223,0.0,0.0,0.2,0.5,0.001,0.001,
CrossRegion,Microglia,geFalse_attnFalse_pca8_highest_weight_decay,highest_weight_decay,False,False,8,0.2930555555555555,0.0,0.0,0.2,1.0,0.001,0.001,
CrossRegion,Microglia,geFalse_attnFalse_pca8_lower_lr,lower_lr,False,False,8,0.26666666666666666,0.0,0.0,0.2,0.1,0.0005,0.001,
CrossRegion,Microglia,geFalse_attnFalse_pca8_lowest_lr,lowest_lr,False,False,8,0.24027777777777776,0.0,0.0,0.2,0.1,0.0001,0.001,
CrossRegion,Microglia,geFalse_attnFalse_pca8_higher_lambda_entropy,higher_lambda_entropy,False,False,8,0.2048611111111111,0.0,0.0,0.2,0.1,0.001,0.01,
CrossRegion,Microglia,geFalse_attnFalse_pca8_highest_lambda_entropy,highest_lambda_entropy,False,False,8,0.33611111111111114,0.0,0.0,0.2,0.1,0.001,0.1,
CrossRegion,Microglia,geFalse_attnFalse_pca8_dropout_wd,dropout_wd,False,False,8,0.21944444444444444,0.0,0.0,0.4,0.5,0.001,0.001,
CrossRegion,Microglia,geFalse_attnFalse_pca8_dropout_lr,dropout_lr,False,False,8,0.33472222222222225,0.0,0.0,0.4,0.1,0.0005,0.001,
CrossRegion,Microglia,geFalse_attnFalse_pca8_wd_lr,wd_lr,False,False,8,0.19374999999999998,0.0,0.0,0.2,0.5,0.0005,0.001,
CrossRegion,Microglia,geFalse_attnFalse_pca8_all_moderate,all_moderate,False,False,8,0.42569444444444443,0.0,0.0,0.4,0.5,0.0005,0.01,
CrossRegion,Microglia,geFalse_attnFalse_pca8_all_strong,all_strong,False,False,8,0.11319444444444443,0.0,0.0,0.5,1.0,0.0001,0.1,
CrossRegion,Microglia,geFalse_attnFalse_pca16_baseline,baseline,False,False,16,0.33402777777777776,0.0,0.0,0.2,0.1,0.001,0.001,
CrossRegion,Microglia,geFalse_attnFalse_pca16_higher_dropout,higher_dropout,False,False,16,0.2520833333333333,0.0,0.0,0.4,0.1,0.001,0.001,
CrossRegion,Microglia,geFalse_attnFalse_pca16_highest_dropout,highest_dropout,False,False,16,0.1361111111111111,0.0,0.0,0.5,0.1,0.001,0.001,
CrossRegion,Microglia,geFalse_attnFalse_pca16_higher_weight_decay,higher_weight_decay,False,False,16,0.29375,0.0,0.0,0.2,0.5,0.001,0.001,
CrossRegion,Microglia,geFalse_attnFalse_pca16_highest_weight_decay,highest_weight_decay,False,False,16,0.2944444444444444,0.0,0.0,0.2,1.0,0.001,0.001,
CrossRegion,Microglia,geFalse_attnFalse_pca16_lower_lr,lower_lr,False,False,16,0.2951388888888889,0.0,0.0,0.2,0.1,0.0005,0.001,
CrossRegion,Microglia,geFalse_attnFalse_pca16_lowest_lr,lowest_lr,False,False,16,0.3416666666666667,0.0,0.0,0.2,0.1,0.0001,0.001,
CrossRegion,Microglia,geFalse_attnFalse_pca16_higher_lambda_entropy,higher_lambda_entropy,False,False,16,0.4215277777777777,0.0,0.0,0.2,0.1,0.001,0.01,
CrossRegion,Microglia,geFalse_attnFalse_pca16_highest_lambda_entropy,highest_lambda_entropy,False,False,16,0.14097222222222222,0.0,0.0,0.2,0.1,0.001,0.1,
CrossRegion,Microglia,geFalse_attnFalse_pca16_dropout_wd,dropout_wd,False,False,16,0.34444444444444444,0.0,0.0,0.4,0.5,0.001,0.001,
CrossRegion,Microglia,geFalse_attnFalse_pca16_dropout_lr,dropout_lr,False,False,16,0.2694444444444445,0.0,0.0,0.4,0.1,0.0005,0.001,
CrossRegion,Microglia,geFalse_attnFalse_pca16_wd_lr,wd_lr,False,False,16,0.23680555555555555,0.0,0.0,0.2,0.5,0.0005,0.001,
